requirement_id,title,status,implementation_files,tests,notes,test_result,last_run_date
4.1,Split Statistics and Pipeline Architecture,implemented,src/split_time_series.py,tests/test_compliance.py::test_split_statistics_schema,"Report section 4.1; get_split_statistics() saves expected/actual steps, duplicates, missing count, timezone",PASS,2026-07-30
4.2,Turbine Availability and Data Coverage,implemented,src/train_failure_model.py,tests/test_compliance.py::test_turbine_availability_and_data_coverage,_classify_states() computes 6 states; observed_availability_pct and data_coverage_pct reported,PASS,2026-07-30
4.3,Time Series Split and Validation,implemented,src/split_time_series.py,tests/test_wind_forecasting.py::TestSplitTimeSeries,split_by_time with train/val/test; walk_forward_split with TimeSeriesSplit for tuning,PASS,2026-07-30
4.4,Model Training (incl. Walk-Forward),implemented,src/train_power_model.py,tests/test_compliance.py::test_model_training_random_forest,train_power_models() for all turbines x horizons; walk_forward_all_ml() loops targets x horizons with n_folds=3,PASS,2026-07-30
4.5,Evaluation Metrics,implemented,src/evaluate.py,tests/test_wind_forecasting.py::TestMetrics,"compute_metrics() returns MAE, RMSE, nMAE%, nRMSE%, bias, R2, max_error; compute_skill_score()",PASS,2026-07-30
4.6,Data Quality Report,implemented,generate_outputs.py,tests/test_compliance.py::test_data_quality_report_generation,"generate_data_quality_report() outputs data_quality_report.csv with per-column missing_rate, invalid_count, unit_status",PASS,2026-07-30
4.7,Architecture Diagram (Labels),implemented,generate_report.py,tests/test_compliance.py::test_report_contains_pipeline_architecture,Report section 4.1 includes pipeline-architecture page; diagram labels as described in doc,PASS,2026-07-30
4.8,NWP Forecast Quality Caveat,implemented,generate_outputs.py,tests/test_compliance.py::test_power_and_farm_forecast_quality_labels,"forecast_quality: production for <=1h, reference_only for 6h/24h in power_forecast.csv and farm_forecast.csv",PASS,2026-07-30
4.9,No Feature Leakage,implemented,src/preprocessing.py,tests/test_wind_forecasting.py::TestNoLookaheadLeakage,ffill(limit=max_gap) replaces interpolate; create_missing_flags runs before handle_missing_values; 7 unit tests prove no lookahead,PASS,2026-07-30
4.10,Hyperparameter Tuning (TimeSeriesSplit),implemented,src/train_power_model.py,tests/test_compliance.py::test_hyperparameter_tuning_timeseries_split,_tune_xgboost() / _tune_lightgbm() with TimeSeriesSplit grid search; wired into MODEL_TRAINERS,PASS,2026-07-30
4.11,Reproducibility,implemented,src/train_power_model.py,tests/test_compliance.py::test_requirements_txt_pinned_versions,"save_models() writes per-model metadata.json: seed, git_commit, config_hash, data_hash, python_version, dependencies; requirements.txt pinned",PASS,2026-07-30
4.12,Confidence Intervals (Conformal),implemented,"src/predict.py, generate_outputs.py",tests/test_compliance.py::test_coverage_calibration_schema,add_confidence_intervals() uses residual quantiles per group; generate_power_forecast/farm_forecast apply conformal bounds; evaluate_coverage_calibration() checks empirical coverage vs nominal,PASS,2026-07-30
4.13,Alert Accuracy Evaluation,implemented,src/evaluate.py,tests/test_compliance.py::test_alert_accuracy_evaluation,evaluate_alert_accuracy() scores ramp/anomaly alerts per turbine x horizon; evaluate_anomaly_detection() with rule-based ground truth,PASS,2026-07-30
4.14,TB12 Turbine Analysis,implemented,src/evaluate.py,tests/test_compliance.py::test_tb12_analysis_reports_findings,"analyze_tb12(): neighbor correlation, wind-speed comparison, stopped rate, frozen data detection, automated findings",PASS,2026-07-30
4.15,Output File Consistency,implemented,generate_outputs.py,tests/test_compliance.py::test_readme_output_consistency,8 standard CSVs + temperature_warning.csv + coverage_calibration.csv; evaluation_metrics.csv includes max_error; metrics.csv includes max_error; farm_forecast has farm_power_low/farm_power_high; y_low/y_high present,PASS,2026-07-30
